,|Q|[Ah](charge),Voltage[V](charge),Capacity[mAh/g](charge),|Q|[Ah](discharge),Voltage[V](discharge),Capacity[mAh/g](discharge)
292,0.00016642609,3.67127,48.407821407795225,0.00016790805,4.09218,48.83887434554973
293,0.00016699907,3.67157,48.57448225712623,0.00016848112,4.09127,49.005561372891215
294,0.00016757206,3.67203,48.74114601512507,0.00016905418,4.08989,49.17224549156486
295,0.00016814504,3.67264,48.90780686445608,0.00016962724,4.08928,49.33892961023851
296,0.00016871802,3.6731,49.07446771378708,0.00017020031,4.08836,49.50561663757998
297,0.000169291,3.67356,49.24112856311809,0.00017077337,4.08729,49.672300756253634
298,0.00016986399,3.67402,49.40779232111693,0.00017134643,4.08607,49.83898487492728
299,0.00017043697,3.67433,49.57445317044793,0.00017191949,4.08515,50.00566899360093
300,0.00017100995,3.67478,49.741114019778934,0.00017249255,4.08423,50.17235311227457
301,0.00017158293,3.67524,49.90777486910995,0.00017306562,4.08332,50.33904013961606
302,0.00017215591,3.6757,50.07443571844095,0.00017363868,4.0824,50.505724258289696
303,0.0001727289,3.67616,50.24109947643979,0.00017421174,4.08117,50.67240837696335
304,0.00017330188,3.67677,50.407760325770795,0.0001747848,4.08026,50.83909249563699
305,0.00017387486,3.67708,50.574421175101804,0.00017535787,4.07934,51.00577952297847
306,0.00017444785,3.67769,50.741084933100645,0.00017593093,4.07858,51.172463641652115
307,0.00017502083,3.67815,50.90774578243165,0.00017650399,4.07751,51.33914776032577
308,0.00017559381,3.67845,51.07440663176265,0.00017707705,4.07659,51.50583187899942
309,0.0001761668,3.67907,51.24107038976148,0.00017765011,4.07567,51.67251599767307
310,0.00017673978,3.67922,51.40773123909249,0.00017822317,4.0746,51.83920011634672
311,0.00017731276,3.67998,51.5743920884235,0.00017879623,4.07384,52.00588423502036
312,0.00017788574,3.68044,51.7410529377545,0.0001793693,4.07277,52.17257126236183
313,0.00017845872,3.68075,51.90771378708551,0.00017994236,4.0717,52.33925538103548
